Altium Designer Pick and Place Locations
C:\Users\USER\Desktop\altium designer projects\28Pins\Design Files\28_Pin Project V1.1\Project Outputs for 28_Pin Project V1.1\Pick Place\Pick Place for 28Pins_Project_1.1_PCB(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       08/09/20
Time:       23:45
Revision:   Not in VersionControl
Variant:    5V/3V3
Units used: mm

Designator    Comment                                    Layer    Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Z2            CG0603MLC-05E                              TopLayer R0603                   7.0500       18.7800      90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1            CG0603MLC-05E                              TopLayer R0603                   7.0300       21.8000      270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2            ABM7-8.000MHZ-D2Y-T                        TopLayer CRYSTAL_16MHZ_FOOTPRINT 25.0500      28.5600      90       "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1            ABM7-10.000MHZ-D2Y-T                       TopLayer CRYSTAL_16MHZ_FOOTPRINT 44.6600      28.4950      180      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U7            AND_SN74AHC1G09DBVR                        TopLayer DBV_SOT_23_5_AND        22.2000      15.4000      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6            AND_SN74AHC1G09DBVR                        TopLayer DBV_SOT_23_5_AND        66.0800      15.6800      270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U5            AND_SN74AHC1G09DBVR                        TopLayer DBV_SOT_23_5_AND        5.9188       26.5562      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4            AND_SN74AHC1G09DBVR                        TopLayer DBV_SOT_23_5_AND        18.2000      43.4500      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3            TL1963A-33DCQR                             TopLayer DCQ_(REGULATOR-PDSO-G6) 16.3000      14.6000      90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2            ATMEGA16U2-AU                              TopLayer TQFP32                  15.4000      30.0000      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
U1            ATMEGA328P-PU                              TopLayer 27_DIP_7.62MM           46.3300      16.3780      270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW2           Button                                     TopLayer 1825910-6_BUTTON        22.2000      4.4000       0        "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW1           Button                                     TopLayer 1825910-6_BUTTON        63.3500      28.6000      270      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
"SCKT FOR U1" 28-DIP-SOCKET                              TopLayer 28_DIP_7.62MM_SOCKET    -698.2460    -697.7380    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R25           22R                                        TopLayer R0805                   27.2600      8.6200       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24           22R                                        TopLayer R0805                   64.3100      23.3300      270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R23           22R                                        TopLayer R0805                   2.2000       25.3000      0        "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R22           560R_Resistor                              TopLayer R0805                   25.3000      15.5000      90       "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R21           10K                                        TopLayer R0805                   27.1000      5.7500       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R20           10K                                        TopLayer R0805                   66.4700      23.3300      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R19           10K                                        TopLayer R0805                   2.7789       28.0518      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R18           10K                                        TopLayer R0805                   67.3300      19.7700      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R17           560R_Resistor                              TopLayer R0805                   58.7750      36.4250      180      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R16           1M                                         TopLayer R0805                   42.6000      22.9000      180      "Res Thick Film 0805 1M Ohm 1% 0.125W(1/8W) Å}100ppm/C Epoxy SMD T/R"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
R15           560R_Resistor                              TopLayer R0805                   24.3800      44.9100      180      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R14           10K                                        TopLayer R0805                   61.4000      22.5800      360      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R13           22R                                        TopLayer R0805                   39.0500      9.9000       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
